cust_id,lookalikes
C0001,"[('C0190', 0.49322853409460554), ('C0120', 0.39761573679589407), ('C0025', 0.3409789129379036)]"
C0002,"[('C0110', 0.4787020566267993), ('C0097', 0.4719331831590262), ('C0080', 0.4703548053031633)]"
C0003,"[('C0181', 0.5087183333495168), ('C0031', 0.4049938774869386), ('C0134', 0.3934649251754465)]"
C0004,"[('C0065', 0.5542858466644812), ('C0082', 0.4983140676771535), ('C0075', 0.49459077647286775)]"
C0005,"[('C0078', 0.6013720771239098), ('C0097', 0.6010271100634541), ('C0080', 0.6007281653793534)]"
C0006,"[('C0171', 0.5546482293033211), ('C0040', 0.380100440912185), ('C0048', 0.3749517114554952)]"
C0007,"[('C0140', 0.668452101791043), ('C0078', 0.521646783927404), ('C0080', 0.5209321395278043)]"
C0008,"[('C0109', 0.4049782890119175), ('C0059', 0.40114549210322037), ('C0143', 0.39528482709642127)]"
C0009,"[('C0060', 0.7514750519052317), ('C0014', 0.7507828211624565), ('C0062', 0.7011658347514591)]"
C0010,"[('C0132', 0.595598247411566), ('C0121', 0.5111451301371286), ('C0111', 0.4233323801842982)]"
C0011,"[('C0120', 0.35759333922373016), ('C0133', 0.3476895060898158), ('C0085', 0.3415028602812145)]"
C0012,"[('C0163', 0.5302226192500283), ('C0173', 0.45320330982242985), ('C0169', 0.36835353046780434)]"
C0013,"[('C0141', 0.5666034678558857), ('C0099', 0.5421949512323384), ('C0169', 0.49957492694519606)]"
C0014,"[('C0060', 0.878364909245844), ('C0128', 0.803877066146802), ('C0198', 0.7978437789520817)]"
C0015,"[('C0058', 0.7802078654631572), ('C0033', 0.7777583952383746), ('C0020', 0.7676284128856358)]"
C0016,"[('C0066', 0.4409682637958514), ('C0187', 0.3564210087327951), ('C0192', 0.35022545514860814)]"
C0017,"[('C0104', 0.48255946203186406), ('C0075', 0.440356438437826), ('C0045', 0.43577182179151963)]"
C0018,"[('C0065', 0.5297208415996593), ('C0087', 0.4621914011788913), ('C0059', 0.44264249031365066)]"
C0019,"[('C0197', 0.4455895902798864), ('C0073', 0.4427141937995994), ('C0064', 0.40739279366569886)]"
C0020,"[('C0058', 0.8615344712188334), ('C0033', 0.8583557370200213), ('C0015', 0.7676284128856358)]"
